score,comment,timestamp
5,分量足，服务态度好，价格实惠，服务态度好味道非常棒，分量给的又足。很好吃,2025/08/11 00:00:00
5,棒棒棒，好吃??,2025/08/11 00:00:00
5,配送很快，炒馕很香很好吃，配菜的种类也很多，味道很满意,2025/08/10 00:00:00
5,#豪华炒米粉夜宵随心选套餐# 炒米粉非常好吃 点了很多次了 给的肉很多 好评！性价比高,2025/08/10 00:00:00
5,包装用心，送货也快，实惠又好吃，服务也相当给力，赞一个分量很大，我一个人根本吃不完??送货迅速，商家和骑手态度好，下次还会买,2025/08/10 00:00:00
5,#【招牌】酱香鸡肉炒米粉#好吃，味道正宗，分量足,2025/08/10 00:00:00
5,#豪华炒米粉夜宵随心选套餐#味道真的很不错，神枪手物美价廉，下次还会点。,2025/08/10 00:00:00
1,味道越做越差没有以前好吃，这次点的实在太难吃了??,2025/08/10 00:00:00
5,好吃不错下次继续,2025/08/10 00:00:00
5,不错 很香,2025/08/10 00:00:00
5,分量足味道好非常好吃，可以推荐,2025/08/10 00:00:00
3,太难吃了,2025/08/09 00:00:00
5,口味独特，别具一格，在众多外卖中脱颖而出。商家的创新能力让人眼前一亮。,2025/08/09 00:00:00
5,前几天叫餐非常好吃??忘记评价了值得信赖,2025/08/08 00:00:00
1,闻上去就犯恶心了，吃着更难受，一点都不像新疆炒米粉，差评，谢谢,2025/08/08 00:00:00
3,点了好多次了，今天的牛肉不像牛肉……,2025/08/07 00:00:00
5,晚上必须安排一个，包装非常严实！味道就不用提了！深圳唯一吃的一家新疆炒米粉！,2025/08/05 00:00:00
5,居然还有一次性围裙，细节满满，味道也非常不错，好吃，强烈推荐,2025/08/05 00:00:00
5,送餐很快，米饭很有韧性，很好吃，特别香，配菜也很丰富。,2025/08/04 00:00:00
5,米粉有嚼劲很好吃～味道很香 份量也很足 推荐推荐,2025/08/04 00:00:00
1,"太难吃了 牛肉有怪味全扔了
",2025/08/04 00:00:00
3,还可以吧，就那样子不是很好吃,2025/08/04 00:00:00
